Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
rr,DC2-BL1,Ethernet1,100.64.2.20/31,p,DC2-SP1,Ethernet5,100.64.2.21/31
rr,DC2-BL1,Ethernet2,100.64.2.22/31,p,DC2-SP2,Ethernet5,100.64.2.23/31
rr,DC2-BL1,Ethernet8,100.64.2.28/31,rr,DC2-BL2,Ethernet8,100.64.2.29/31
rr,DC2-BL2,Ethernet1,100.64.2.24/31,p,DC2-SP1,Ethernet6,100.64.2.25/31
rr,DC2-BL2,Ethernet2,100.64.2.26/31,p,DC2-SP2,Ethernet6,100.64.2.27/31
pe,DC2-CL1,Ethernet1,100.64.2.0/31,p,DC2-SP1,Ethernet1,100.64.2.1/31
pe,DC2-CL1,Ethernet2,100.64.2.2/31,p,DC2-SP2,Ethernet1,100.64.2.3/31
pe,DC2-CL1,Ethernet8,100.64.2.8/31,pe,DC2-CL2,Ethernet8,100.64.2.9/31
pe,DC2-CL2,Ethernet1,100.64.2.4/31,p,DC2-SP1,Ethernet2,100.64.2.5/31
pe,DC2-CL2,Ethernet2,100.64.2.6/31,p,DC2-SP2,Ethernet2,100.64.2.7/31
pe,DC2-CL3,Ethernet1,100.64.2.10/31,p,DC2-SP1,Ethernet3,100.64.2.11/31
pe,DC2-CL3,Ethernet2,100.64.2.12/31,p,DC2-SP2,Ethernet3,100.64.2.13/31
pe,DC2-CL3,Ethernet8,100.64.2.18/31,pe,DC2-CL4,Ethernet8,100.64.2.19/31
pe,DC2-CL4,Ethernet1,100.64.2.14/31,p,DC2-SP1,Ethernet4,100.64.2.15/31
pe,DC2-CL4,Ethernet2,100.64.2.16/31,p,DC2-SP2,Ethernet4,100.64.2.17/31
p,DC2-SP1,Ethernet7,100.64.2.30/31,p,DC2-SP2,Ethernet7,100.64.2.31/31
